epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9958,1.47454,2.5749,1.42256,0.65536,0.49192,0.55703,0.3331,1.48365,1.73917,1.4424,0.000207772,0.000207772,0.000207772
2,86.1572,1.46867,2.0236,1.44516,0.59949,0.52183,0.54083,0.30772,1.54065,1.75013,1.50916,0.000411948,0.000411948,0.000411948
3,125.913,1.49124,1.99878,1.46735,0.56097,0.47694,0.49849,0.28428,1.59149,1.82684,1.54022,0.000611962,0.000611962,0.000611962
4,166.224,1.49315,1.91288,1.4766,0.59457,0.50968,0.53991,0.30166,1.60853,1.79553,1.57027,0.000606269,0.000606269,0.000606269
5,205.073,1.48948,1.81941,1.46793,0.61937,0.51113,0.55435,0.32088,1.56919,1.74802,1.51156,0.000600025,0.000600025,0.000600025
6,243.548,1.46138,1.7286,1.44438,0.64166,0.51937,0.56345,0.32894,1.55786,1.71245,1.51876,0.000593781,0.000593781,0.000593781
7,280.737,1.45281,1.68351,1.44253,0.58295,0.55989,0.56611,0.33094,1.50724,1.60162,1.46949,0.000587537,0.000587537,0.000587537
8,317.935,1.43165,1.64666,1.43138,0.64951,0.55953,0.5976,0.35713,1.50967,1.61493,1.48208,0.000581294,0.000581294,0.000581294
9,355.092,1.41947,1.59735,1.42055,0.62346,0.54511,0.58269,0.34544,1.50836,1.56935,1.48568,0.00057505,0.00057505,0.00057505
10,392.301,1.40817,1.5626,1.41113,0.65377,0.57762,0.6107,0.36304,1.52758,1.5355,1.47473,0.000568806,0.000568806,0.000568806
11,430.712,1.40105,1.53873,1.41096,0.67308,0.55962,0.62907,0.38389,1.48545,1.50523,1.46578,0.000562563,0.000562563,0.000562563
12,468.673,1.39556,1.50886,1.40263,0.67669,0.55612,0.61762,0.36724,1.50779,1.5407,1.47175,0.000556319,0.000556319,0.000556319
13,507.059,1.382,1.48006,1.39206,0.70089,0.57605,0.64047,0.38959,1.49305,1.44321,1.46768,0.000550075,0.000550075,0.000550075
14,545.789,1.37635,1.46047,1.3887,0.69754,0.59163,0.65351,0.39786,1.47127,1.40796,1.44813,0.000543831,0.000543831,0.000543831
15,584.995,1.36502,1.43011,1.37725,0.717,0.56188,0.6391,0.38881,1.48964,1.42288,1.45636,0.000537588,0.000537588,0.000537588
16,622.508,1.35582,1.41546,1.37706,0.68561,0.58516,0.65241,0.40116,1.46568,1.41846,1.44725,0.000531344,0.000531344,0.000531344
