epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6431,1.43352,2.74997,1.4372,0.53713,0.49413,0.50353,0.30422,1.43578,1.87736,1.46781,0.000221687,0.000221687,0.000221687
2,74.8646,1.44,2.18898,1.45522,0.54161,0.42283,0.44014,0.25103,1.5412,2.00618,1.5686,0.000439585,0.000439585,0.000439585
3,110.483,1.47008,2.14948,1.49238,0.4507,0.40361,0.38306,0.21419,1.57682,2.13722,1.60545,0.00065304,0.00065304,0.00065304
4,145.722,1.45875,2.05759,1.4922,0.47356,0.43936,0.44524,0.25071,1.59484,2.00646,1.65783,0.00064701,0.00064701,0.00064701
5,180.249,1.44988,1.91828,1.47971,0.52879,0.52019,0.52693,0.31475,1.46697,1.75202,1.49234,0.000640347,0.000640347,0.000640347
6,214.661,1.43,1.84524,1.46493,0.59279,0.50876,0.54302,0.32415,1.49053,1.69376,1.53922,0.000633683,0.000633683,0.000633683
7,249.001,1.40994,1.7591,1.44953,0.59382,0.50482,0.54363,0.32639,1.46983,1.66324,1.49355,0.00062702,0.00062702,0.00062702
8,283.364,1.40161,1.71368,1.44221,0.57415,0.51756,0.53955,0.32176,1.47479,1.64613,1.50294,0.000620357,0.000620357,0.000620357
9,318.156,1.38414,1.66853,1.43149,0.63936,0.53452,0.57776,0.34493,1.48145,1.5849,1.51996,0.000613693,0.000613693,0.000613693
10,352.86,1.3725,1.61236,1.42108,0.64959,0.50587,0.57319,0.3535,1.45572,1.58867,1.4901,0.00060703,0.00060703,0.00060703
11,387.428,1.35774,1.6033,1.41299,0.65863,0.54388,0.60134,0.36602,1.45119,1.54857,1.48888,0.000600367,0.000600367,0.000600367
12,423.222,1.34795,1.55243,1.40362,0.64804,0.5627,0.59502,0.3605,1.45424,1.5806,1.50846,0.000593703,0.000593703,0.000593703
13,458.767,1.33268,1.51028,1.39108,0.63994,0.54268,0.59947,0.36933,1.43831,1.54427,1.45197,0.00058704,0.00058704,0.00058704
14,493.659,1.33501,1.48809,1.38828,0.66412,0.58832,0.63015,0.38663,1.4324,1.45019,1.46505,0.000580377,0.000580377,0.000580377
15,528.414,1.31762,1.45762,1.37681,0.67008,0.59013,0.63458,0.39307,1.41688,1.41635,1.45846,0.000573713,0.000573713,0.000573713
16,563.631,1.30907,1.45278,1.37016,0.63025,0.59163,0.61846,0.37828,1.42619,1.44209,1.45217,0.00056705,0.00056705,0.00056705
17,598.523,1.29626,1.41968,1.36501,0.68377,0.57768,0.63876,0.39351,1.41667,1.40686,1.44678,0.000560387,0.000560387,0.000560387
18,633.748,1.29164,1.40466,1.35656,0.70403,0.57037,0.64624,0.40357,1.40024,1.39485,1.44448,0.000553723,0.000553723,0.000553723
19,668.755,1.27463,1.37865,1.34627,0.68459,0.57968,0.63269,0.39741,1.40391,1.38735,1.44103,0.00054706,0.00054706,0.00054706
20,703.482,1.2799,1.36017,1.34596,0.66583,0.59338,0.65157,0.41028,1.37263,1.36753,1.40512,0.000540397,0.000540397,0.000540397
21,738.06,1.27846,1.34093,1.34426,0.65952,0.60177,0.63669,0.39489,1.4163,1.41414,1.45105,0.000533733,0.000533733,0.000533733
22,772.863,1.26554,1.3284,1.33853,0.69305,0.60001,0.64949,0.4052,1.38929,1.34353,1.43772,0.00052707,0.00052707,0.00052707
23,807.816,1.26612,1.32325,1.33932,0.69698,0.59944,0.66279,0.41896,1.38685,1.3372,1.42233,0.000520407,0.000520407,0.000520407
24,843.323,1.24839,1.29351,1.32895,0.69594,0.57082,0.64443,0.40317,1.40784,1.39245,1.43993,0.000513743,0.000513743,0.000513743
25,877.818,1.23651,1.27463,1.31937,0.68126,0.60984,0.67243,0.41688,1.38517,1.30904,1.4221,0.00050708,0.00050708,0.00050708
